Entidade;Campo;Tipo;Caminho Completo;Profundidade;Removido pelo filtro padrão
DadosDoPedido.VaraJudicial.ValidationResult;IsOK;Boolean;[Dados.DadosDoPedido.VaraJudicial.ValidationResult.IsOK];4;Sim
DadosDoPedido.VaraJudicial.ValidationResult.Erros;Length;Int32;[Dados.DadosDoPedido.VaraJudicial.ValidationResult.Erros.Length];5;Sim
DadosDoPedido.VaraJudicial.ValidationResult;MessageSuccess;String;[Dados.DadosDoPedido.VaraJudicial.ValidationResult.MessageSuccess];4;Sim
DadosDoPedido.VaraJudicial;EmailParaRespostaAosOficios;String;[Dados.DadosDoPedido.VaraJudicial.EmailParaRespostaAosOficios];3;Não
DadosDoPedido.ItensPedido;ApontamentoID;Guid;[Dados.DadosDoPedido.ItensPedido.ApontamentoID];3;Não
DadosDoPedido.ItensPedido;UltimoAndamentoID;Guid;[Dados.DadosDoPedido.ItensPedido.UltimoAndamentoID];3;Não
DadosDoPedido.ItensPedido;CancelamentoComCertidao;Boolean;[Dados.DadosDoPedido.ItensPedido.CancelamentoComCertidao];3;Não
DadosDoPedido.ItensPedido;TipoDeCobrancaID;Guid;[Dados.DadosDoPedido.ItensPedido.TipoDeCobrancaID];3;Não
DadosDoPedido.ItensPedido;MotivoDoIndeferimento;String;[Dados.DadosDoPedido.ItensPedido.MotivoDoIndeferimento];3;Não
DadosDoPedido.ItensPedido;EscreventeID;Nullable`1[[System.Guid, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoPedido.ItensPedido.EscreventeID];3;Não
DadosDoPedido.ItensPedido;SegundaViaDaCertidao;Boolean;[Dados.DadosDoPedido.ItensPedido.SegundaViaDaCertidao];3;Não
DadosDoPedido.ItensPedido;PodeAdicionarNoPedido;Boolean;[Dados.DadosDoPedido.ItensPedido.PodeAdicionarNoPedido];3;Não
DadosDoPedido.ItensPedido;CriticaDaPesquisa;String;[Dados.DadosDoPedido.ItensPedido.CriticaDaPesquisa];3;Não
DadosDoPedido.ItensPedido;TipoDeAtoDoUltimoAtoID;Guid;[Dados.DadosDoPedido.ItensPedido.TipoDeAtoDoUltimoAtoID];3;Não
DadosDoPedido.ItensPedido;Apontamento;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Apontamento];3;Não
DadosDoPedido.ItensPedido.Apontamento;Origem;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Origem];4;Não
DadosDoPedido.ItensPedido.Apontamento;Acervo;Int32;[Dados.DadosDoPedido.ItensPedido.Apontamento.Acervo];4;Não
DadosDoPedido.ItensPedido.Apontamento;PracaDePagamento;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.PracaDePagamento];4;Não
DadosDoPedido.ItensPedido.Apontamento;CodigoDeBarras;Int64;[Dados.DadosDoPedido.ItensPedido.Apontamento.CodigoDeBarras];4;Não
DadosDoPedido.ItensPedido.Apontamento;DataDaApresentacao;DateTime;[Dados.DadosDoPedido.ItensPedido.Apontamento.DataDaApresentacao];4;Não
DadosDoPedido.ItensPedido.Apontamento;DataDoProtocolo;DateTime;[Dados.DadosDoPedido.ItensPedido.Apontamento.DataDoProtocolo];4;Não
DadosDoPedido.ItensPedido.Apontamento;NumeroDoProtocolo;Int32;[Dados.DadosDoPedido.ItensPedido.Apontamento.NumeroDoProtocolo];4;Não
DadosDoPedido.ItensPedido.Apontamento;DigitoDeVerificacao;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.DigitoDeVerificacao];4;Não
DadosDoPedido.ItensPedido.Apontamento;NumeroDoProtocoloDoDistribuidor;Nullable`1[[System.Int32, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoPedido.ItensPedido.Apontamento.NumeroDoProtocoloDoDistribuidor];4;Não
DadosDoPedido.ItensPedido.Apontamento;NumeroDoProtocoloDeInternet;Nullable`1[[System.Int32, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoPedido.ItensPedido.Apontamento.NumeroDoProtocoloDeInternet];4;Não
DadosDoPedido.ItensPedido.Apontamento;PrazoLimiteParaPagamento;DateTime;[Dados.DadosDoPedido.ItensPedido.Apontamento.PrazoLimiteParaPagamento];4;Não
DadosDoPedido.ItensPedido.Apontamento;TipoDeProtesto;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.TipoDeProtesto];4;Não
DadosDoPedido.ItensPedido.Apontamento;ProtestoComDireitoDeRegresso;Boolean;[Dados.DadosDoPedido.ItensPedido.Apontamento.ProtestoComDireitoDeRegresso];4;Não
DadosDoPedido.ItensPedido.Apontamento;Faixa;Int32;[Dados.DadosDoPedido.ItensPedido.Apontamento.Faixa];4;Não
DadosDoPedido.ItensPedido.Apontamento;ChaveUnica;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.ChaveUnica];4;Não
DadosDoPedido.ItensPedido.Apontamento;UltimoAtoID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.UltimoAtoID];4;Não
DadosDoPedido.ItensPedido.Apontamento.Atos;ApontamentoID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.ApontamentoID];5;Não
DadosDoPedido.ItensPedido.Apontamento.Atos;AtoID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.AtoID];5;Não
DadosDoPedido.ItensPedido.Apontamento.Atos;Ato;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato];5;Não
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;TipoDeAtoID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAtoID];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;Data;DateTime;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Data];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;UsuarioID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.UsuarioID];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;IdentificacaoDaOrigem;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.IdentificacaoDaOrigem];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;TipoDeCobrancaID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeCobrancaID];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;Quantidade;Int32;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Quantidade];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;Verbas;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Verbas];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;OutrosValores;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.OutrosValores];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;ValorAoCartorio;Decimal;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.ValorAoCartorio];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;ValorTotal;Decimal;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.ValorTotal];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;TipoDeAto;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto;Nome;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto.Nome];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto.ID];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto;NomeAmigavel;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto.NomeAmigavel];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto;Cor;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto.Cor];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto;Sigla;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeAto.Sigla];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;Usuario;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Email;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Email];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Nome;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Nome];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Documento;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Documento];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Usuario;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Usuario];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Senha;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Senha];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;AmbienteDeGestaoID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.AmbienteDeGestaoID];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;GruposDeAcesso;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.GruposDeAcesso];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Foto;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Foto];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Assinatura;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Assinatura];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Chancela;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Chancela];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Rubrica;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Rubrica];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;UsuariosCompartilhandoAtalhos;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.UsuariosCompartilhandoAtalhos];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;TiposDeUsuario;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.TiposDeUsuario];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Cargo;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Cargo];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;ImagemFoto;Byte[];[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.ImagemFoto];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;ImagemAssinatura;Byte[];[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.ImagemAssinatura];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;ImagemChancela;Byte[];[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.ImagemChancela];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;ImagemRubrica;Byte[];[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.ImagemRubrica];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.ID];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Ativo;Boolean;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Ativo];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;MostrarLegendasNosIconesDaAreaDeTrabalho;Boolean;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.MostrarLegendasNosIconesDaAreaDeTrabalho];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario;Admin;Boolean;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.Usuario.Admin];7;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato;TipoDeCobranca;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeCobranca];6;Sim
DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeCobranca;Nome;String;[Dados.DadosDoPedido.ItensPedido.Apontamento.Atos.Ato.TipoDeCobranca.Nome];7;Sim
